episode,score,total_score,eval_score,d2qn_score,d2qn_total_score,d2qn_eval_score
1,12,12,114.64,14,14,114.64
2,11,23,114.64,12,26,114.64
3,12,35,114.64,22,48,114.65
4,9,44,114.65,9,57,114.65
5,11,55,114.65,14,71,114.65
6,16,71,114.65,18,89,114.66
7,8,79,114.65,9,98,114.66
8,16,95,114.66,10,108,114.66
9,22,117,114.66,12,120,114.66
10,27,144,114.67,12,132,114.66
11,11,155,114.67,10,142,114.67
12,14,169,114.67,17,159,114.67
13,14,183,114.67,9,168,114.67
14,13,196,114.68,12,180,114.67
15,17,213,114.68,29,209,114.68
16,16,229,114.68,21,230,114.68
17,10,239,114.69,14,244,114.69
18,11,250,114.69,16,260,114.69
19,12,262,114.69,13,273,114.69
20,10,272,114.69,10,283,114.7
21,9,281,114.69,11,294,114.7
22,15,296,114.7,10,304,114.7
23,11,307,114.7,13,317,114.7
24,8,315,114.7,14,331,114.71
25,14,329,114.7,17,348,114.71
26,11,340,114.71,10,358,114.71
27,12,352,114.71,10,368,114.71
28,15,367,114.71,19,387,114.72
29,20,387,114.72,11,398,114.72
30,46,433,114.73,11,409,114.72
31,10,443,114.73,10,419,114.72
32,15,458,114.73,16,435,114.73
33,12,470,114.73,20,455,114.73
34,10,480,114.74,28,483,114.74
35,9,489,114.74,10,493,114.74
36,8,497,114.74,10,503,114.74
37,17,514,114.74,10,513,114.74
38,10,524,114.75,11,524,114.75
39,20,544,114.75,21,545,114.75
40,14,558,114.75,12,557,114.75
41,19,577,114.76,12,569,114.75
42,14,591,114.76,16,585,114.76
43,9,600,114.76,9,594,114.76
44,10,610,114.76,10,604,114.76
45,10,620,114.77,10,614,114.76
46,12,632,114.77,13,627,114.77
47,10,642,114.77,10,637,114.77
48,10,652,114.77,35,672,114.78
49,11,663,114.77,10,682,114.78
50,12,675,114.78,11,693,114.78
51,12,687,114.78,9,702,114.78
52,11,698,114.78,16,718,114.79
53,9,707,114.78,10,728,114.79
54,15,722,114.79,17,745,114.79
55,10,732,114.79,22,767,114.8
56,10,742,114.79,11,778,114.8
57,14,756,114.79,14,792,114.8
58,14,770,114.8,13,805,114.8
59,10,780,114.8,19,824,114.81
60,9,789,114.8,14,838,114.81
61,24,813,114.81,14,852,114.81
62,15,828,114.81,17,869,114.82
63,15,843,114.81,14,883,114.82
64,11,854,114.81,9,892,114.82
65,14,868,114.82,11,903,114.82
66,11,879,114.82,9,912,114.83
67,18,897,114.82,10,922,114.83
68,15,912,114.83,15,937,114.83
69,21,933,114.83,9,946,114.83
70,29,962,114.84,15,961,114.84
71,14,976,114.84,11,972,114.84
72,9,985,114.84,11,983,114.84
73,11,996,114.84,10,993,114.84
74,12,1008,114.85,9,1002,114.84
75,10,1018,114.85,8,1010,114.85
76,26,1044,114.85,12,1022,114.85
77,11,1055,114.86,12,1034,114.85
78,32,1087,114.86,21,1055,114.86
79,9,1096,114.86,10,1065,114.86
80,12,1108,114.87,25,1090,114.86
81,19,1127,114.87,11,1101,114.86
82,10,1137,114.87,12,1113,114.87
83,15,1152,114.88,14,1127,114.87
84,10,1162,114.88,15,1142,114.87
85,25,1187,114.88,14,1156,114.88
86,37,1224,114.89,23,1179,114.88
87,10,1234,114.89,11,1190,114.88
88,12,1246,114.89,10,1200,114.89
89,10,1256,114.9,10,1210,114.89
