episode,score,total_score,eval_score
1,10.00,10.00,114.64
2,11.00,21.00,114.64
3,11.00,32.00,114.64
4,10.00,42.00,114.65
5,9.00,51.00,114.65
6,11.00,62.00,114.65
7,9.00,71.00,114.65
8,16.00,87.00,114.65
9,10.00,97.00,114.66
10,9.00,106.00,114.66
11,10.00,116.00,114.66
12,13.00,129.00,114.66
13,16.00,145.00,114.67
14,18.00,163.00,114.67
15,12.00,175.00,114.67
16,12.00,187.00,114.68
17,14.00,201.00,114.68
18,12.00,213.00,114.68
19,12.00,225.00,114.68
20,16.00,241.00,114.69
21,9.00,250.00,114.69
22,15.00,265.00,114.69
23,14.00,279.00,114.69
24,13.00,292.00,114.70
25,16.00,308.00,114.70
26,13.00,321.00,114.70
27,11.00,332.00,114.71
28,9.00,341.00,114.71
29,12.00,353.00,114.71
30,19.00,372.00,114.71
31,9.00,381.00,114.72
32,21.00,402.00,114.72
33,16.00,418.00,114.72
34,12.00,430.00,114.73
35,12.00,442.00,114.73
36,10.00,452.00,114.73
37,9.00,461.00,114.73
38,12.00,473.00,114.73
39,16.00,489.00,114.74
40,15.00,504.00,114.74
41,20.00,524.00,114.75
42,14.00,538.00,114.75
43,11.00,549.00,114.75
44,15.00,564.00,114.75
45,14.00,578.00,114.76
46,19.00,597.00,114.76
47,15.00,612.00,114.76
48,16.00,628.00,114.77
49,8.00,636.00,114.77
50,15.00,651.00,114.77
51,13.00,664.00,114.77
52,15.00,679.00,114.78
53,10.00,689.00,114.78
54,13.00,702.00,114.78
55,14.00,716.00,114.78
56,10.00,726.00,114.79
57,9.00,735.00,114.79
58,8.00,743.00,114.79
59,12.00,755.00,114.79
60,13.00,768.00,114.80
61,10.00,778.00,114.80
62,13.00,791.00,114.80
63,9.00,800.00,114.80
64,17.00,817.00,114.81
65,12.00,829.00,114.81
66,10.00,839.00,114.81
67,14.00,853.00,114.81
68,15.00,868.00,114.82
69,10.00,878.00,114.82
70,9.00,887.00,114.82
71,12.00,899.00,114.82
72,14.00,913.00,114.83
73,9.00,922.00,114.83
74,11.00,933.00,114.83
75,10.00,943.00,114.83
76,21.00,964.00,114.84
77,12.00,976.00,114.84
78,19.00,995.00,114.84
79,9.00,1004.00,114.84
80,11.00,1015.00,114.85
81,12.00,1027.00,114.85
82,17.00,1044.00,114.85
83,14.00,1058.00,114.86
84,11.00,1069.00,114.86
85,10.00,1079.00,114.86
86,15.00,1094.00,114.86
87,17.00,1111.00,114.87
88,12.00,1123.00,114.87
89,14.00,1137.00,114.87
90,10.00,1147.00,114.87
91,13.00,1160.00,114.88
92,11.00,1171.00,114.88
93,12.00,1183.00,114.88
94,10.00,1193.00,114.88
95,10.00,1203.00,114.89
96,10.00,1213.00,114.89
97,8.00,1221.00,114.89
98,10.00,1231.00,114.89
99,14.00,1245.00,114.89
100,12.00,1257.00,114.90
101,14.00,1271.00,114.90
102,18.00,1289.00,114.90
103,20.00,1309.00,114.91
104,10.00,1319.00,114.91
105,17.00,1336.00,114.91
106,12.00,1348.00,114.92
107,12.00,1360.00,114.92
108,15.00,1375.00,114.92
109,13.00,1388.00,114.92
110,12.00,1400.00,114.93
111,13.00,1413.00,114.93
112,11.00,1424.00,114.93
113,12.00,1436.00,114.93
114,14.00,1450.00,114.94
115,9.00,1459.00,114.94
116,9.00,1468.00,114.94
117,9.00,1477.00,114.94
118,9.00,1486.00,114.94
119,10.00,1496.00,114.95
120,13.00,1509.00,114.95
121,22.00,1531.00,114.95
122,11.00,1542.00,114.96
123,18.00,1560.00,114.96
124,10.00,1570.00,114.96
125,11.00,1581.00,114.96
126,11.00,1592.00,114.97
127,9.00,1601.00,114.97
128,13.00,1614.00,114.97
129,12.00,1626.00,114.97
130,12.00,1638.00,114.98
131,11.00,1649.00,114.98
132,12.00,1661.00,114.98
133,10.00,1671.00,114.98
134,8.00,1679.00,114.98
