episode,score,total_score,eval_score
1,12.00,12.00,114.64
2,17.00,29.00,114.64
3,11.00,40.00,114.65
4,19.00,59.00,114.65
5,14.00,73.00,114.65
6,14.00,87.00,114.65
7,13.00,100.00,114.66
8,14.00,114.00,114.66
9,11.00,125.00,114.66
10,11.00,136.00,114.66
11,12.00,148.00,114.67
12,14.00,162.00,114.67
13,9.00,171.00,114.67
14,14.00,185.00,114.68
15,13.00,198.00,114.68
16,12.00,210.00,114.68
17,26.00,236.00,114.69
18,11.00,247.00,114.69
19,16.00,263.00,114.69
20,9.00,272.00,114.69
21,21.00,293.00,114.70
22,10.00,303.00,114.70
23,10.00,313.00,114.70
24,15.00,328.00,114.70
25,10.00,338.00,114.71
26,12.00,350.00,114.71
27,21.00,371.00,114.71
28,34.00,405.00,114.72
29,10.00,415.00,114.72
30,9.00,424.00,114.72
31,11.00,435.00,114.73
32,16.00,451.00,114.73
33,11.00,462.00,114.73
34,11.00,473.00,114.73
35,14.00,487.00,114.74
36,13.00,500.00,114.74
37,13.00,513.00,114.74
38,27.00,540.00,114.75
39,11.00,551.00,114.75
40,12.00,563.00,114.75
41,11.00,574.00,114.76
42,12.00,586.00,114.76
43,22.00,608.00,114.76
44,10.00,618.00,114.76
45,11.00,629.00,114.77
46,15.00,644.00,114.77
47,11.00,655.00,114.77
48,13.00,668.00,114.78
49,9.00,677.00,114.78
50,15.00,692.00,114.78
51,36.00,728.00,114.79
52,11.00,739.00,114.79
53,14.00,753.00,114.79
54,10.00,763.00,114.79
55,10.00,773.00,114.80
56,14.00,787.00,114.80
57,13.00,800.00,114.80
58,10.00,810.00,114.80
59,9.00,819.00,114.81
60,17.00,836.00,114.81
61,10.00,846.00,114.81
62,12.00,858.00,114.81
63,17.00,875.00,114.82
64,13.00,888.00,114.82
65,13.00,901.00,114.82
66,20.00,921.00,114.83
67,9.00,930.00,114.83
68,15.00,945.00,114.83
69,11.00,956.00,114.83
70,9.00,965.00,114.84
71,11.00,976.00,114.84
72,17.00,993.00,114.84
73,12.00,1005.00,114.84
74,26.00,1031.00,114.85
75,8.00,1039.00,114.85
76,14.00,1053.00,114.85
77,17.00,1070.00,114.86
78,12.00,1082.00,114.86
79,11.00,1093.00,114.86
80,14.00,1107.00,114.87
81,9.00,1116.00,114.87
82,11.00,1127.00,114.87
83,12.00,1139.00,114.87
84,9.00,1148.00,114.87
85,14.00,1162.00,114.88
86,12.00,1174.00,114.88
87,10.00,1184.00,114.88
88,15.00,1199.00,114.88
89,9.00,1208.00,114.89
90,15.00,1223.00,114.89
91,11.00,1234.00,114.89
92,12.00,1246.00,114.89
93,18.00,1264.00,114.90
94,12.00,1276.00,114.90
95,9.00,1285.00,114.90
96,16.00,1301.00,114.91
97,19.00,1320.00,114.91
98,10.00,1330.00,114.91
99,25.00,1355.00,114.92
100,11.00,1366.00,114.92
101,9.00,1375.00,114.92
102,12.00,1387.00,114.92
103,11.00,1398.00,114.93
104,18.00,1416.00,114.93
105,11.00,1427.00,114.93
106,9.00,1436.00,114.93
107,10.00,1446.00,114.94
108,19.00,1465.00,114.94
109,12.00,1477.00,114.94
110,14.00,1491.00,114.95
111,9.00,1500.00,114.95
112,13.00,1513.00,114.95
113,22.00,1535.00,114.95
114,9.00,1544.00,114.96
115,12.00,1556.00,114.96
116,10.00,1566.00,114.96
117,10.00,1576.00,114.96
118,9.00,1585.00,114.96
119,12.00,1597.00,114.97
120,9.00,1606.00,114.97
121,10.00,1616.00,114.97
122,11.00,1627.00,114.97
123,10.00,1637.00,114.98
124,12.00,1649.00,114.98
125,10.00,1659.00,114.98
126,10.00,1669.00,114.98
127,11.00,1680.00,114.98
128,8.00,1688.00,114.99
129,12.00,1700.00,114.99
130,10.00,1710.00,114.99
131,11.00,1721.00,114.99
132,16.00,1737.00,115.00
133,11.00,1748.00,115.00
134,11.00,1759.00,115.00
